id,user_id,key,value,meta,updated_at
162,14,marketing_opt_in_at,2026-02-25T16:08:07.958946,,2026-02-25 16:08:07.962968
163,14,intro_content_presented_at,2026-02-25T16:08:09,,2026-02-25 16:08:09.139104
164,14,intro_content_listened_at,2026-02-25T16:15:23,,2026-02-25 16:15:23.966588
165,14,intro_content_read_at,2026-02-25T16:15:45,,2026-02-25 16:15:45.145194
166,4,out_of_session_last_sent_at,2026-02-25T17:00:51.378432,,2026-02-25 17:00:52.316276
167,3,out_of_session_last_sent_at,2026-02-25T17:00:51.378432,,2026-02-25 17:00:52.70964
168,5,out_of_session_last_sent_at,2026-02-25T17:00:51.378432,,2026-02-25 17:00:53.23861
169,16,training_focus,loss of body fat,,2026-02-25 17:21:19.191178
170,16,first_app_login_at,2026-02-25T17:29:05,,2026-02-25 17:29:05.18237
171,16,preferred_channel,email,,2026-02-25 17:29:30.507214
172,16,marketing_opt_in,0,,2026-02-25 17:29:30.50722
173,16,intro_content_presented_at,2026-02-25T17:29:31,,2026-02-25 17:29:31.2069
174,1,first_app_login_at,2026-02-25T17:36:03,,2026-02-25 17:36:03.105413
175,6,out_of_session_last_sent_at,2026-02-25T18:00:51.047155,,2026-02-25 18:00:51.586564
176,17,training_focus,Running,,2026-02-25 18:16:35.344548
177,17,first_app_login_at,2026-02-25T18:21:54,,2026-02-25 18:21:54.343997
178,17,preferred_channel,whatsapp,,2026-02-25 18:22:22.392352
179,17,marketing_opt_in,1,,2026-02-25 18:22:22.392357
180,17,marketing_opt_in_at,2026-02-25T18:22:22.388547,,2026-02-25 18:22:22.392359
181,17,intro_content_presented_at,2026-02-25T18:22:24,,2026-02-25 18:22:24.067822
182,8,out_of_session_last_sent_at,2026-02-25T20:00:51.381701,,2026-02-25 20:00:52.44249
183,9,out_of_session_last_sent_at,2026-02-25T20:00:51.381701,,2026-02-25 20:00:53.053157
184,18,training_focus,"Marathon, triathlon",,2026-02-25 20:05:02.505225
185,19,training_focus,"getting my motivation back, getting back into running",,2026-02-25 20:43:43.144344
186,19,first_app_login_at,2026-02-25T20:49:02,,2026-02-25 20:49:02.714949
187,19,preferred_channel,whatsapp,,2026-02-25 20:49:15.150861
188,19,marketing_opt_in,0,,2026-02-25 20:49:15.150868
189,19,intro_content_presented_at,2026-02-25T20:49:15,,2026-02-25 20:49:15.911072
190,19,intro_content_read_at,2026-02-25T20:51:44,,2026-02-25 20:51:44.883797
191,19,intro_content_listened_at,2026-02-25T20:58:36,,2026-02-25 20:58:36.721623
192,10,out_of_session_last_sent_at,2026-02-25T21:00:51.424004,,2026-02-25 21:00:52.176444
193,20,training_focus,Strength maintenance and losing  body fat,,2026-02-25 21:01:38.716215
194,20,first_app_login_at,2026-02-25T21:06:51,,2026-02-25 21:06:51.644337
195,20,preferred_channel,whatsapp,,2026-02-25 21:07:02.538522
196,20,marketing_opt_in,0,,2026-02-25 21:07:02.53853
197,20,intro_content_presented_at,2026-02-25T21:07:03,,2026-02-25 21:07:03.229325
198,21,training_focus,Body decomposition,,2026-02-26 06:04:00.024911
199,21,first_app_login_at,2026-02-26T06:08:59,,2026-02-26 06:08:59.047928
200,21,preferred_channel,whatsapp,,2026-02-26 06:09:11.838693
201,21,marketing_opt_in,0,,2026-02-26 06:09:11.8387
202,21,intro_content_presented_at,2026-02-26T06:09:12,,2026-02-26 06:09:12.665933
203,21,assessment_reviewed_at,2026-02-26T06:10:10,,2026-02-26 06:10:10.220621
204,21,coaching,1,,2026-02-26 07:07:51.745295
205,21,coaching_first_day_pending,1,,2026-02-26 07:07:51.745301
206,21,coaching_first_day_sent_at,,,2026-02-26 07:07:51.745303
207,21,coaching_virtual_enabled,0,,2026-02-26 07:07:51.745305
